DBA,BORO,ZIPCODE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE
FELIDIA RESTAURANT,1,10022,48,2014-02-25 00:00:00,D,06C,12,A
FELIDIA RESTAURANT,1,10022,48,2014-02-25 00:00:00,D,10B,12,A
"Centerplate, Jacob Javitz Convention Center",1,10001,3,2014-02-25 00:00:00,D,04L,12,A
SNACK TIME GRILL,4,11418,3,2014-02-25 00:00:00,D,06C,7,A
PARKSIDE RESTAURANT,4,11368,48,2014-02-25 00:00:00,D,08A,11,A
SNACK TIME GRILL,4,11418,3,2014-02-25 00:00:00,D,10D,7,A
FINNEGAN'S WAKE,1,10021,3,2014-02-25 00:00:00,U,04L,21,Z
RAOULS,1,10012,35,2014-02-25 00:00:00,D,10B,6,A
FINNEGAN'S WAKE,1,10021,3,2014-02-25 00:00:00,U,08C,21,Z
RAOULS,1,10012,35,2014-02-25 00:00:00,D,10F,6,A
DEVON & BLAKELY,1,10017,70,2014-02-25 00:00:00,U,02G,16,Z
DEVON & BLAKELY,1,10017,70,2014-02-25 00:00:00,U,06D,16,Z
PARKSIDE RESTAURANT,4,11368,48,2014-02-25 00:00:00,D,04L,11,A
FELIDIA RESTAURANT,1,10022,48,2014-02-25 00:00:00,D,10F,12,A
FINNEGAN'S WAKE,1,10021,3,2014-02-25 00:00:00,U,02B,21,Z
FINNEGAN'S WAKE,1,10021,3,2014-02-25 00:00:00,U,08A,21,Z
PHILADELHIA GRILLE EXPRESS,3,11209,48,2014-02-25 00:00:00,D,02G,12,A
PARKSIDE RESTAURANT,4,11368,48,2014-02-25 00:00:00,D,10F,11,A
FINNEGAN'S WAKE,1,10021,3,2014-02-25 00:00:00,U,10F,21,Z
"Centerplate, Jacob Javitz Convention Center",1,10001,3,2014-02-25 00:00:00,D,09A,12,A
"Centerplate, Jacob Javitz Convention Center",1,10001,3,2014-02-25 00:00:00,D,04N,12,A
"Centerplate, Jacob Javitz Convention Center",1,10001,3,2014-02-25 00:00:00,D,08A,12,A
E.J LUNCHEONETTE,1,10021,3,2014-02-25 00:00:00,D,08A,11,A
CORNER CAFE AND BAKERY,1,10128,3,2014-02-25 00:00:00,D,02G,10,A
E.J LUNCHEONETTE,1,10021,3,2014-02-25 00:00:00,D,04L,11,A
E.J LUNCHEONETTE,1,10021,3,2014-02-25 00:00:00,D,09C,11,A
LA NUEVA ESPANA RESTAURANT,1,10034,77,2014-02-25 00:00:00,U,02G,22,Z
CORNER CAFE AND BAKERY,1,10128,3,2014-02-25 00:00:00,D,10F,10,A
GLENDALE BAKESHOP & CAFE,4,11378,8,2014-02-25 00:00:00,U,04L,21,Z
DEVON & BLAKELY,1,10017,70,2014-02-25 00:00:00,U,10B,16,Z
RUSSIA VODKA ROOM,1,10019,67,2014-02-25 00:00:00,D,04M,12,A
RAY'S PIZZA RESTUARANT,2,10454,62,2014-02-25 00:00:00,D,10F,4,A
GREENWOOD BAKERY,4,11419,8,2014-02-25 00:00:00,D,06F,10,A
LA NUEVA ESPANA RESTAURANT,1,10034,77,2014-02-25 00:00:00,U,10F,22,Z
GREENWOOD BAKERY,4,11419,8,2014-02-25 00:00:00,D,06E,10,A
GLENDALE BAKESHOP & CAFE,4,11378,8,2014-02-25 00:00:00,U,02G,21,Z
GLENDALE BAKESHOP & CAFE,4,11378,8,2014-02-25 00:00:00,U,08A,21,Z
STRICTLY VEGETARIAN,3,11226,84,2014-02-25 00:00:00,D,10F,5,A
GIGI'S PIZZERIA,4,11357,62,2014-02-25 00:00:00,D,10B,9,A
ATLANTIC GRILL,1,10075,72,2014-02-25 00:00:00,D,10F,7,A
LA NUEVA ESPANA RESTAURANT,1,10034,77,2014-02-25 00:00:00,U,06F,22,Z
RUSSIA VODKA ROOM,1,10019,67,2014-02-25 00:00:00,D,08A,12,A
Citibank EXECUTIVE CONFERENCE CENTER,1,10022,3,2014-02-25 00:00:00,B,,,A
LEXINGTON CANDY SHOP,1,10028,3,2014-02-25 00:00:00,U,08A,15,Z
ATLANTIC GRILL,1,10075,72,2014-02-25 00:00:00,D,09C,7,A
RUSSIA VODKA ROOM,1,10019,67,2014-02-25 00:00:00,D,10F,12,A
LEXINGTON CANDY SHOP,1,10028,3,2014-02-25 00:00:00,U,10F,15,Z
PIATTO D'ORO,1,10029,48,2014-02-25 00:00:00,D,08A,13,A
LEXINGTON CANDY SHOP,1,10028,3,2014-02-25 00:00:00,U,04L,15,Z
PIATTO D'ORO,1,10029,48,2014-02-25 00:00:00,D,10H,13,A
CHOPSTIX RESTAURANT,3,11209,20,2014-02-25 00:00:00,D,02B,12,A
HOT POT JAMAICAN & AMERICAN CUISINE,4,11411,17,2014-02-25 00:00:00,D,04L,13,A
STARBUCKS COFFEE,5,10301,14,2014-02-25 00:00:00,D,02G,7,A
PIATTO D'ORO,1,10029,48,2014-02-25 00:00:00,D,10F,13,A
PIATTO D'ORO,1,10029,48,2014-02-25 00:00:00,D,04L,13,A
KRISS WEST INDIAN RESTAURANT,4,11412,17,2014-02-25 00:00:00,U,02B,22,Z
CHOPSTIX RESTAURANT,3,11209,20,2014-02-25 00:00:00,D,06D,12,A
D'ALEO'S PIZZERIA,4,11421,62,2014-02-25 00:00:00,D,06C,6,A
AMICI BAR,4,11385,14,2014-02-25 00:00:00,D,10F,8,A
CAFE RIVERA,3,11222,8,2014-02-25 00:00:00,U,02G,21,Z
RED 58,1,10019,3,2014-02-25 00:00:00,U,10H,25,Z
CAFE RIVERA,3,11222,8,2014-02-25 00:00:00,U,06B,21,Z
RED 58,1,10019,3,2014-02-25 00:00:00,U,04J,25,Z
KRISS WEST INDIAN RESTAURANT,4,11412,17,2014-02-25 00:00:00,U,04L,22,Z
BLUE NILE RESTAURANT,3,11225,17,2014-02-25 00:00:00,U,10F,19,Z
HOT POT JAMAICAN & AMERICAN CUISINE,4,11411,17,2014-02-25 00:00:00,D,09B,13,A
BLUE NILE RESTAURANT,3,11225,17,2014-02-25 00:00:00,U,06F,19,Z
KRISS WEST INDIAN RESTAURANT,4,11412,17,2014-02-25 00:00:00,U,10F,22,Z
HOT POT JAMAICAN & AMERICAN CUISINE,4,11411,17,2014-02-25 00:00:00,D,08A,13,A
CLANDESTINO CAFE AND BAR,1,10002,35,2014-02-25 00:00:00,D,04C,7,A
KRISS WEST INDIAN RESTAURANT,4,11412,17,2014-02-25 00:00:00,U,08A,22,Z
NEW GENERAL TSOS RESTAURANT,2,10472,20,2014-02-25 00:00:00,D,02B,13,A
AMICI BAR,4,11385,14,2014-02-25 00:00:00,D,06C,8,A
HAPPY COFFEE SHOP,3,11207,53,2014-02-25 00:00:00,D,06D,12,A
HAPPY COFFEE SHOP,3,11207,53,2014-02-25 00:00:00,D,02G,12,A
SUSHI SASABUNE NEW YORK,1,10021,49,2014-02-25 00:00:00,D,08B,10,A
CAFE RIVERA,3,11222,8,2014-02-25 00:00:00,U,08A,21,Z
RED 58,1,10019,3,2014-02-25 00:00:00,U,10F,25,Z
RED 58,1,10019,3,2014-02-25 00:00:00,U,04A,25,Z
CUENCA COFFEE SHOP RESTAURANT,4,11421,53,2014-02-25 00:00:00,D,10F,8,A
BLUE NILE RESTAURANT,3,11225,17,2014-02-25 00:00:00,U,04C,19,Z
BLUE NILE RESTAURANT,3,11225,17,2014-02-25 00:00:00,U,06A,19,Z
BAR BOULUD,1,10023,3,2014-02-25 00:00:00,D,02G,12,A
DOMINO'S PIZZA,3,11207,62,2014-02-25 00:00:00,D,10A,7,A
BIS.CO. LATTE,1,10036,8,2014-02-25 00:00:00,D,10F,7,A
DOMINO'S PIZZA,3,11207,62,2014-02-25 00:00:00,D,10F,7,A
STAR MOUNTAIN COFFEE,4,11430,3,2014-02-25 00:00:00,D,08A,11,A
STAR MOUNTAIN COFFEE,4,11430,3,2014-02-25 00:00:00,D,04L,11,A
"DUNKIN' DONUTS, BASKIN ROBBINS",1,10036,29,2014-02-25 00:00:00,D,10F,2,A
NEW GENERAL TSOS RESTAURANT,2,10472,20,2014-02-25 00:00:00,D,06B,13,A
MACCHIATO ESPRESSO BAR,1,10017,3,2014-02-25 00:00:00,D,10F,3,A
PALOMBO BAKERY,1,10463,3,2014-02-25 00:00:00,D,08A,9,A
PANDA RESTAURANT,2,10463,20,2014-02-25 00:00:00,D,10F,10,A
ANGELITA RESTAURANT,4,11368,53,2014-02-25 00:00:00,U,02B,16,Z
SUSHI SASABUNE NEW YORK,1,10021,49,2014-02-25 00:00:00,D,06B,10,A
WILLIAMSBURGER,3,11249,39,2014-02-25 00:00:00,U,06B,16,Z
WILLIAMSBURGER,3,11249,39,2014-02-25 00:00:00,U,08A,16,Z
DISIAC LOUNGE,1,10019,3,2014-02-25 00:00:00,D,10F,6,A
SUSHI SASABUNE NEW YORK,1,10021,49,2014-02-25 00:00:00,D,10F,10,A
RUNNING COOL RESTAURANT,2,10453,17,2014-02-25 00:00:00,U,10F,27,Z
RUNNING COOL RESTAURANT,2,10453,17,2014-02-25 00:00:00,U,04L,27,Z
INSIDE PARK AT ST. BART'S,1,10022,3,2014-02-25 00:00:00,D,06D,7,A
INSIDE PARK AT ST. BART'S,1,10022,3,2014-02-25 00:00:00,D,10F,7,A
INAKAYA,1,10018,49,2014-02-25 00:00:00,D,06C,9,A
SUBWAY,1,10017,69,2014-02-25 00:00:00,D,10F,13,A
B'KLYN'S PIZZA JOINT,3,11228,63,2014-02-25 00:00:00,D,04H,13,A
MORENA RESTAURANT,2,10453,53,2014-02-25 00:00:00,D,10F,12,A
CUENCA COFFEE SHOP RESTAURANT,4,11421,53,2014-02-25 00:00:00,D,06C,8,A
BIS.CO. LATTE,1,10036,8,2014-02-25 00:00:00,D,10D,7,A
BIS.CO. LATTE,1,10036,8,2014-02-25 00:00:00,D,10I,7,A
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-02-25 00:00:00,F,08A,37,Z
BAR BOULUD,1,10023,3,2014-02-25 00:00:00,D,06F,12,A
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-02-25 00:00:00,F,04N,37,Z
BACARO,1,10002,48,2014-02-25 00:00:00,D,06F,7,A
BABY GRAND,1,10013,3,2014-02-25 00:00:00,U,04A,15,Z
BACARO,1,10002,48,2014-02-25 00:00:00,D,10H,7,A
PALOMBO BAKERY,1,10463,3,2014-02-25 00:00:00,D,04L,9,A
PANDA RESTAURANT,2,10463,20,2014-02-25 00:00:00,D,06D,10,A
PANDA RESTAURANT,2,10463,20,2014-02-25 00:00:00,D,09A,10,A
NYONYA,1,10013,5,2014-02-25 00:00:00,D,02G,13,A
SHALEL,1,10023,54,2014-02-25 00:00:00,D,10F,2,A
MEDITERRANEAN GRILL GREEK TARVERNA,4,11357,38,2014-02-25 00:00:00,D,06D,9,A
ANGELITA RESTAURANT,4,11368,53,2014-02-25 00:00:00,U,02G,16,Z
ANGELITA RESTAURANT,4,11368,53,2014-02-25 00:00:00,U,09B,16,Z
Junior's Seafood,2,10453,72,2014-02-25 00:00:00,F,10D,32,Z
EUROPAN PIZZA CAFE,1,10028,62,2014-02-25 00:00:00,D,10F,8,A
MEDITERRANEAN GRILL GREEK TARVERNA,4,11357,38,2014-02-25 00:00:00,D,10F,9,A
WILLIAMSBURGER,3,11249,39,2014-02-25 00:00:00,U,04L,16,Z
DISIAC LOUNGE,1,10019,3,2014-02-25 00:00:00,D,10B,6,A
DHABA INDIAN CUISINE,1,10016,44,2014-02-25 00:00:00,D,10F,12,A
DHABA INDIAN CUISINE,1,10016,44,2014-02-25 00:00:00,D,06C,12,A
DHABA INDIAN CUISINE,1,10016,44,2014-02-25 00:00:00,D,06D,12,A
Junior's Seafood,2,10453,72,2014-02-25 00:00:00,F,06D,32,Z
Junior's Seafood,2,10453,72,2014-02-25 00:00:00,F,10A,32,Z
HO MEI CHINESE RESTAURANT,3,11221,20,2014-02-25 00:00:00,D,02G,12,A
EVERYDAY GOURMET DELI,1,10017,3,2014-02-25 00:00:00,D,06F,11,A
RUNNING COOL RESTAURANT,2,10453,17,2014-02-25 00:00:00,U,02G,27,Z
SUBWAY,1,10017,69,2014-02-25 00:00:00,D,08A,13,A
KASHKAR CAFE,3,11235,67,2014-02-25 00:00:00,F,02B,44,Z
RUNNING COOL RESTAURANT,2,10453,17,2014-02-25 00:00:00,U,06C,27,Z
SUBWAY,1,10017,69,2014-02-25 00:00:00,D,04L,13,A
HO MEI CHINESE RESTAURANT,3,11221,20,2014-02-25 00:00:00,D,06A,12,A
SUBWAY,1,10017,69,2014-02-25 00:00:00,D,10D,13,A
B'KLYN'S PIZZA JOINT,3,11228,63,2014-02-25 00:00:00,D,10B,13,A
INAKAYA,1,10018,49,2014-02-25 00:00:00,D,09C,9,A
INAKAYA,1,10018,49,2014-02-25 00:00:00,D,10F,9,A
B'KLYN'S PIZZA JOINT,3,11228,63,2014-02-25 00:00:00,D,10F,13,A
BROADWAY BAKERY & PIZZERIA,4,11419,62,2014-02-25 00:00:00,D,10A,11,A
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-02-25 00:00:00,F,04M,37,Z
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-02-25 00:00:00,F,10F,37,Z
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-02-25 00:00:00,F,02G,37,Z
