Country Name,Country Code,2010
Aruba,ABW,2321
Andorra,AND,517
Afghanistan,AFG,8236
Angola,AGO,30418
Albania,ALB,4283
Arab World,ARB,1601122
United Arab Emirates,ARE,167597
Argentina,ARG,180512
Armenia,ARM,4221
American Samoa,ASM,
Antigua and Barbuda,ATG,513
Australia,AUS,373081
Austria,AUT,66897
Azerbaijan,AZE,45731
Burundi,BDI,308
Belgium,BEL,108947
Benin,BEN,5189
Burkina Faso,BFA,1683
Bangladesh,BGD,56153
Bulgaria,BGR,44679
Bahrain,BHR,24202
Bahamas The,BHS,2464
Bosnia and Herzegovina,BIH,31125
Belarus,BLR,62222
Belize,BLZ,422
Bermuda,BMU,477
Bolivia,BOL,15456
Brazil,BRA,419754
Barbados,BRB,1503
Brunei Darussalam,BRN,9160
Bhutan,BTN,477
Botswana,BWA,5233
Sub-Saharan Africa (IFC classification),CAA,
Central African Republic,CAF,264
Canada,CAN,499137
East Asia and the Pacific (IFC classification),CEA,
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,38757
Channel Islands,CHI,
Chile,CHL,72258
China,CHN,8286892
Cote d'Ivoire,CIV,5805
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,7235
Congo Rep.,COG,2028
Colombia,COL,75680
Comoros,COM,139
Cabo Verde,CPV,356
Costa Rica,CRI,7770
South Asia (IFC classification),CSA,
Caribbean small states,CSS,68085
Cuba,CUB,38364
Curacao,CUW,
Cayman Islands,CYM,590
Cyprus,CYP,7708
Czech Republic,CZE,111752
Germany,DEU,745384
Djibouti,DJI,539
Dominica,DMA,136
Denmark,DNK,46303
Dominican Republic,DOM,20964
Algeria,DZA,123475
East Asia & Pacific (developing only),EAP,9570523
East Asia & Pacific (all income levels),EAS,12042676
Europe & Central Asia (developing only),ECA,1416733
Europe & Central Asia (all income levels),ECS,6794446
Ecuador,ECU,32636
Egypt Arab Rep.,EGY,204776
Euro area,EMU,2472368
Eritrea,ERI,513
Spain,ESP,269675
Estonia,EST,18339
Ethiopia,ETH,6494
European Union,EUU,3709765
Finland,FIN,61844
Fiji,FJI,1291
France,FRA,361273
Faeroe Islands,FRO,711
Micronesia Fed. Sts.,FSM,103
Gabon,GAB,2574
United Kingdom,GBR,493505
Georgia,GEO,6241
Ghana,GHA,8999
Guinea,GIN,1236
Gambia The,GMB,473
Guinea-Bissau,GNB,238
Equatorial Guinea,GNQ,4679
Greece,GRC,86717
Grenada,GRD,260
