admin,GNI_2010_mil,CO2_2010,POP_2010
Afghanistan,14386,8236,28397812
Angola,75621,30418,19549124
Albania,12738,4283,3150143
United Arab Emirates,298229,167597,8441537
Argentina,201648,180512,40374224
Armenia,9864,4221,2963496
Antigua and Barbuda,1121,513,87233
Australia,1021821,373081,22065300
Austria,394836,66897,8389771
Azerbaijan,48658,45731,9054332
Burundi,1859,308,9232753
Belgium,499442,108947,10895586
Benin,6785,5189,9509798
Burkina Faso,9269,1683,15540284
Bangladesh,104681,56153,151125475
Bulgaria,47580,44679,7534289
Bahrain,18552,24202,1251513
The Bahamas,7687,2464,360498
Bosnia and Herzegovina,17845,31125,3845929
Belarus,56871,62222,9490000
Belize,1351,422,308595
Bermuda,7230,477,65124
Bolivia,17925,15456,10156601
Brazil,1859078,419754,195210154
Barbados,4406,1503,280396
Bhutan,1430,477,716939
Botswana,11491,5233,1969341
Central African Republic,2146,264,4349921
Canada,1475865,499137,34126547
Switzerland,576563,38757,7824909
Chile,183825,72258,17150760
China,5667959,8286892,1337705000
Ivory Coast,22999,5805,18976588
Cameroon,23404,7235,20624343
Democratic Republic of the Congo,11918,3040,62191161
Republic of Congo,9071,2028,4111715
Colombia,253807,75680,46444798
Comoros,551,139,683081
Cape Verde,1715,356,487601
Costa Rica,32259,7770,4669685
Cuba,63513,38364,11281768
Cyprus,23693,7708,1103685
Czech Republic,193282,111752,10519792
Germany,3540869,745384,81776930
Djibouti,803,539,834036
Dominica,480,136,71167
Denmark,330591,46303,5547683
Dominican Republic,49992,20964,10016797
Algeria,161382,123475,37062820
Ecuador,65024,32636,15001072
Egypt,199145,204776,78075705
Eritrea,1792,513,5741159
Spain,1447443,269675,46070971
Estonia,18998,18339,1340161
Ethiopia,29376,6494,87095281
Finland,252818,61844,5363352
Fiji,3160,1291,860559
France,2749827,361273,65031235
Federated States of Micronesia,297,103,103619
Gabon,12868,2574,1556222
United Kingdom,2409058,493505,62271177
Georgia,11916,6241,4452800
Ghana,30483,8999,24262901
Guinea,4298,1236,10876033
Gambia,978,473,1680640
Guinea Bissau,859,238,1586624
Equatorial Guinea,6847,4679,696167
Greece,298657,86717,11307502
Grenada,745,260,104677
Greenland,1466,634,56905
Guatemala,39475,11118,14341576
Guyana,2185,1701,786126
Hong Kong S.A.R.,236224,36289,7024200
Honduras,14461,8108,7621204
Croatia,59842,20884,4417800
Haiti,6422,2120,9896400
Hungary,129348,50583,10000023
Indonesia,600559,433989,240676485
India,1559123,2008823,1205624648
Ireland,191542,40000,4474356
Iran,315776,571612,74462314
Iraq,135680,114667,30962380
Iceland,10781,1962,318041
Israel,200184,70656,7623600
Italy,2148137,406307,60483385
Jamaica,12297,7158,2701200
Jordan,25008,20821,6046000
Japan,5376611,1170715,127450459
Kazakhstan,121369,248729,16323287
Kenya,32769,12427,40909194
Kyrgyzstan,4597,6399,5447900
Cambodia,10685,4180,14364931
Kiribati,194,62,97743
Saint Kitts and Nevis,641,249,52352
South Korea,974371,567567,49410000
Kuwait,131934,93696,2991580
Laos,6246,1874,6395713
Lebanon,36292,20403,4341092
Liberia,1053,799,3957990
Libya,77140,59035,6040612
Saint Lucia,1164,403,177397
Sri Lanka,46762,12710,20653000
Lesotho,2344,18,2008921
Lithuania,38184,13561,3286820
Luxembourg,36343,10829,506953
Latvia,26537,7616,2239008
Macao S.A.R,24807,1030,534626
Morocco,92550,50608,31642360
Moldova,6477,4855,3562062
Madagascar,8856,2013,21079532
Maldives,1787,1074,325694
Mexico,1026115,443674,117886404
Marshall Islands,198,103,52428
Macedonia,9624,10873,2102216
Mali,9207,623,13985961
Malta,7747,2589,415995
Montenegro,4133,2582,620078
Mongolia,5155,11511,2712738
Mozambique,10256,2882,23967265
Mauritania,3541,2215,3609420
Mauritius,9961,4118,1280924
Malawi,4624,1239,15013694
Malaysia,230514,216804,28275835
Namibia,9530,3176,2178967
Niger,5818,1412,15893746
Nigeria,198177,78910,159707780
Nicaragua,8329,4547,5822209
Netherlands,806276,182078,16615394
Norway,424656,57187,4889252
Nepal,14617,3755,26846016
New Zealand,125604,31551,4367800
Oman,53549,57202,2802768
Pakistan,184123,161396,173149306
Panama,27684,9633,3678128
Peru,138011,57579,29262830
Philippines,192428,81591,93444322
Palau,176,216,20470
Papua New Guinea,8935,3135,6858945
Poland,473511,317254,38183683
Portugal,232654,52361,10637346
Paraguay,18191,5075,6459721
Qatar,130081,70531,1749713
Romania,171778,78745,21438001
Russia,1423668,1740776,142389000
Rwanda,5565,594,10836732
Saudi Arabia,527769,464481,27258387
Sudan,54815,7086,35652002
Senegal,13521,7059,12950564
Singapore,215919,13520,5076700
Solomon Islands,552,202,526447
Sierra Leone,2608,689,5751976
El Salvador,20840,6249,6218195
Somalia,959,609,9636173
Republic of Serbia,40482,45962,7291436
Sao Tome and Principe,204,99,178228
Suriname,4069,2384,524960
Slovakia,87022,36094,5430099
Slovenia,48973,15328,2048583
Sweden,476981,52515,9378126
Swaziland,3161,1023,1193148
Seychelles,922,704,89770
Syria,56255,61859,21532647
Chad,8257,469,11720781
Togo,2893,1540,6306014
Thailand,286740,295282,66402316
Tajikistan,5527,2860,7627326
Turkmenistan,20530,53054,5041995
East Timor,3205,183,1142502
Tonga,363,158,104098
Trinidad and Tobago,20895,50682,1328095
Tunisia,43743,25878,10549100
Turkey,719658,298002,72137546
United Republic of Tanzania,23057,6846,44973330
Uganda,15608,3784,33987213
Ukraine,137235,304805,45870700
Uruguay,34087,6645,3371982
United States of America,15143680,5433057,309326225
Uzbekistan,37264,104443,28562400
Saint Vincent and the Grenadines,655,209,109316
Venezuela,334453,201747,29043283
Vietnam,110302,150230,86932500
Vanuatu,639,117,236299
Samoa,528,161,186029
Yemen,27825,21852,22763008
South Africa,304774,460124,49991300
Zambia,14313,2428,13216985
Zimbabwe,6197,9428,13076978
