admin,GNI_2010_mil,CO2_2010,POP_2010,GNI_PC_2010,CO2_PC_2010,region_wb,r_value,g_value,b_value
Afghanistan,14386,8236,28397812,510,0.29,South Asia,190,174,212
Angola,75621,30418,19549124,3870,1.556,Sub-Saharan Africa,240,2,127
Albania,12738,4283,3150143,4040,1.3596,Europe & Central Asia,191,91,23
United Arab Emirates,298229,167597,8441537,35330,19.8538,Middle East & North Africa,127,201,127
Argentina,201648,180512,40374224,5170,4.471,Latin America & Caribbean,253,192,134
Armenia,9864,4221,2963496,3330,1.4242,Europe & Central Asia,191,91,23
Antigua and Barbuda,1121,513,87233,12850,5.8852,Latin America & Caribbean,253,192,134
Australia,1021821,373081,22065300,46310,16.908,East Asia & Pacific,56,108,176
Austria,394836,66897,8389771,47060,7.9736,Europe & Central Asia,191,91,23
Azerbaijan,48658,45731,9054332,5370,5.0507,Europe & Central Asia,191,91,23
Burundi,1859,308,9232753,200,0.0334,Sub-Saharan Africa,240,2,127
Belgium,499442,108947,10895586,45840,9.9991,Europe & Central Asia,191,91,23
Benin,6785,5189,9509798,710,0.5456,Sub-Saharan Africa,240,2,127
Burkina Faso,9269,1683,15540284,600,0.1083,Sub-Saharan Africa,240,2,127
Bangladesh,104681,56153,151125475,690,0.3716,South Asia,190,174,212
Bulgaria,47580,44679,7534289,6320,5.9301,Europe & Central Asia,191,91,23
Bahrain,18552,24202,1251513,14820,19.3384,Middle East & North Africa,127,201,127
The Bahamas,7687,2464,360498,21320,6.8356,Latin America & Caribbean,253,192,134
Bosnia and Herzegovina,17845,31125,3845929,4640,8.0931,Europe & Central Asia,191,91,23
Belarus,56871,62222,9490000,5990,6.5565,Europe & Central Asia,191,91,23
Belize,1351,422,308595,4380,1.3665,Latin America & Caribbean,253,192,134
Bermuda,7230,477,65124,111020,7.32,North America,255,255,153
Bolivia,17925,15456,10156601,1760,1.5218,Latin America & Caribbean,253,192,134
Brazil,1859078,419754,195210154,9520,2.1503,Latin America & Caribbean,253,192,134
Barbados,4406,1503,280396,15710,5.362,Latin America & Caribbean,253,192,134
Bhutan,1430,477,716939,1990,0.6649,South Asia,190,174,212
Botswana,11491,5233,1969341,5840,2.6571,Sub-Saharan Africa,240,2,127
Central African Republic,2146,264,4349921,490,0.0607,Sub-Saharan Africa,240,2,127
Canada,1475865,499137,34126547,43250,14.6261,North America,255,255,153
Switzerland,576563,38757,7824909,73680,4.953,Europe & Central Asia,191,91,23
Chile,183825,72258,17150760,10720,4.2131,Latin America & Caribbean,253,192,134
China,5667959,8286892,1337705000,4240,6.1949,East Asia & Pacific,56,108,176
Ivory Coast,22999,5805,18976588,1210,0.3059,Sub-Saharan Africa,240,2,127
Cameroon,23404,7235,20624343,1130,0.3508,Sub-Saharan Africa,240,2,127
Democratic Republic of the Congo,11918,3040,62191161,190,0.0489,Sub-Saharan Africa,240,2,127
Republic of Congo,9071,2028,4111715,2210,0.4932,Sub-Saharan Africa,240,2,127
Colombia,253807,75680,46444798,5460,1.6295,Latin America & Caribbean,253,192,134
Comoros,551,139,683081,810,0.204,Sub-Saharan Africa,240,2,127
Cape Verde,1715,356,487601,3520,0.7295,Sub-Saharan Africa,240,2,127
Costa Rica,32259,7770,4669685,6910,1.664,Latin America & Caribbean,253,192,134
Cuba,63513,38364,11281768,5630,3.4005,Latin America & Caribbean,253,192,134
Cyprus,23693,7708,1103685,28570,6.9839,Europe & Central Asia,191,91,23
Czech Republic,193282,111752,10519792,18370,10.623,Europe & Central Asia,191,91,23
Germany,3540869,745384,81776930,43300,9.1148,Europe & Central Asia,191,91,23
Djibouti,803,539,834036,1030,0.6463,Middle East & North Africa,127,201,127
Dominica,480,136,71167,6740,1.9065,Latin America & Caribbean,253,192,134
Denmark,330591,46303,5547683,59590,8.3464,Europe & Central Asia,191,91,23
Dominican Republic,49992,20964,10016797,4990,2.0929,Latin America & Caribbean,253,192,134
Algeria,161382,123475,37062820,4350,3.3315,Middle East & North Africa,127,201,127
Ecuador,65024,32636,15001072,4330,2.1756,Latin America & Caribbean,253,192,134
Egypt,199145,204776,78075705,2550,2.6228,Middle East & North Africa,127,201,127
