id,elev,lat,lon
0,889.45,-116.46696,32.589707
1,887.75,-116.466988,32.589865
2,885.44,-116.467092,32.589991
3,881.75,-116.467308,32.590104
4,880.13,-116.467469,32.590107
5,879.31,-116.467565,32.590142
6,876.93,-116.467781,32.590287
7,875.09,-116.467849,32.590469
8,874.44,-116.467836,32.59056
9,873.96,-116.46786,32.590606
10,870.65,-116.467722,32.590967
11,870.39,-116.46766,32.591022
12,869.87,-116.46763,32.591171
13,870.33,-116.46765,32.591374
14,868.42,-116.467471,32.59154
15,867.62,-116.467386,32.591563
16,865.37,-116.467179,32.591767
17,864.31,-116.467079,32.591804
18,863.93,-116.467061,32.591861
19,864.17,-116.467107,32.591951
20,863.02,-116.467096,32.592296
21,862.5,-116.467052,32.592375
22,860.85,-116.467114,32.592766
23,859.49,-116.467086,32.592982
24,858.17,-116.467023,32.593125
25,856.14,-116.467059,32.593457
26,854.44,-116.467012,32.593638
27,853.55,-116.46691,32.593753
28,853.11,-116.466813,32.59379
29,853.2,-116.466745,32.593853
30,853.27,-116.466725,32.593918
31,853.59,-116.466737,32.594201
32,853.38,-116.466705,32.594247
33,851.85,-116.466708,32.59442
34,850.14,-116.466665,32.594586
35,848.6,-116.466703,32.594771
36,845.53,-116.466703,32.59507
37,844.86,-116.46662,32.595209
38,842.1,-116.466705,32.595466
39,840.59,-116.466711,32.595591
40,839.54,-116.466675,32.595679
41,837.66,-116.466706,32.595848
42,836.89,-116.466677,32.595917
43,831.66,-116.466696,32.596463
44,830.51,-116.466725,32.596586
45,829.75,-116.466683,32.596652
46,825.82,-116.466709,32.597074
47,824.83,-116.466657,32.597216
48,823.25,-116.466703,32.597437
49,822.7,-116.466742,32.597524
50,822.33,-116.466934,32.597598
51,822.95,-116.467291,32.597595
52,822.39,-116.467466,32.597625
53,822.99,-116.467712,32.597728
54,824.3,-116.467963,32.59777
55,824.11,-116.468225,32.59776
56,825.65,-116.468734,32.597526
57,825.89,-116.468841,32.597522
58,824.57,-116.468973,32.597762
59,823.47,-116.469015,32.597932
60,822.16,-116.469161,32.598116
61,820.15,-116.469309,32.598393
