id,elev,lon,lat,dist,dist_total
0,889.45,-116.46696,32.589707,0,0
20,863.02,-116.467096,32.592296,287.396617359,287.396617359
40,839.54,-116.466675,32.595679,377.241515153,664.638132512
60,822.16,-116.469161,32.598116,357.075307446,1021.713439958
80,812.15,-116.470262,32.60148,387.11090634,1408.824346298
100,788.5,-116.471314,32.605218,426.134405871,1834.958752169
120,797.57,-116.476089,32.606288,262.01206501,2096.970817179
140,777.84,-116.478807,32.60575,262.01206501,2358.982882189
160,756.05,-116.482554,32.605469,225.316510888,2584.299393077
180,754.02,-116.483271,32.607408,225.316510888,2809.615903965
200,738,-116.485912,32.607089,250.40910308,3060.025007045
220,755.66,-116.489588,32.607626,125.184628643,3185.209635688
240,765.55,-116.490916,32.60773,125.184628643,3310.394264331
260,770.48,-116.492673,32.606129,177.005419526,3487.399683857
280,771.11,-116.494036,32.605026,177.005419526,3664.405103383
300,770.15,-116.49586,32.605554,180.949306687,3845.35441007
320,751.05,-116.497706,32.606274,141.629595264,3986.984005334
340,742.79,-116.499181,32.606543,98.529898065,4085.513903399
360,724.31,-116.500123,32.606935,98.529898065,4184.043801464
380,735.27,-116.502352,32.607717,205.361816874,4389.405618338
400,758.43,-116.504246,32.608644,131.788548551,4521.194166889
420,774.66,-116.505478,32.609214,131.788548551,4652.98271544
440,787.25,-116.50693,32.60872,146.887840779,4799.870556219
460,811.43,-116.506334,32.611851,184.59642232,4984.466978539
480,832.82,-116.507048,32.613402,184.59642232,5169.063400859
500,857.87,-116.507691,32.615449,221.060881315,5390.124282174
520,852.12,-116.507806,32.61744,174.424909647,5564.549191821
540,861.09,-116.507716,32.619011,174.424909647,5738.974101468
560,871.05,-116.507292,32.62086,208.875437665,5947.849539133
580,876.82,-116.508327,32.622944,241.142596937,6188.99213607
600,895.83,-116.507403,32.624973,241.142596937,6430.134733007
620,915.83,-116.510161,32.626905,290.803129923,6720.93786293
640,916.1,-116.51242,32.6287,290.803129923,7011.740992853
660,943.9,-116.515287,32.63027,146.802762783,7158.543755636
680,983.49,-116.515658,32.628984,146.802762783,7305.346518419
700,1004.57,-116.516764,32.628031,148.127890675,7453.474409094
720,1024.21,-116.516617,32.626166,207.284030008,7660.758439102
740,1020.99,-116.51905,32.623441,248.446727321,7909.205166423
760,1015.45,-116.520691,32.625199,211.791442444,8120.996608867
780,1011.19,-116.522768,32.625946,211.791442444,8332.788051311
800,1008.05,-116.523757,32.628687,316.689916718,8649.477968029
820,1021.51,-116.52477,32.631411,316.689916718,8966.167884747
840,1028.39,-116.525804,32.634627,307.507785106,9273.675669853
860,1035.16,-116.526441,32.637347,182.78237714,9456.458046993
880,1035.72,-116.525385,32.638732,182.78237714,9639.240424133
900,1029.8,-116.523789,32.640861,226.402118261,9865.642542394
920,1028.09,-116.524312,32.642854,214.578896414,10080.221438808
940,1021.38,-116.523161,32.644526,214.578896414,10294.800335222
960,1028.48,-116.5228,32.647077,167.291572835,10462.091908057
980,1029.02,-116.524269,32.647932,167.291572834,10629.383480891
1000,1001.06,-116.528165,32.648978,186.001058441,10815.384539332
1020,981.66,-116.529568,32.650163,145.446718541,10960.831257873
1040,961.61,-116.530801,32.650958,145.446718541,11106.277976414
1060,953.7,-116.533521,32.651187,256.449113577,11362.727089991
1080,954.57,-116.537254,32.652081,272.17459629,11634.901686281
1100,949.26,-116.539862,32.653156,272.17459629,11907.076282571
1120,948.62,-116.542943,32.652663,233.662721424,12140.739003995
1140,927.53,-116.545339,32.654991,217.603398602,12358.342402597
