id,elev,lat,lon
0,912.33,-117.465189,34.304579
1,909.08,-117.465205,34.304413
2,903.82,-117.465303,34.304168
3,903.2,-117.465264,34.304107
4,902.79,-117.465112,34.304042
5,903.34,-117.464951,34.304037
6,902.5,-117.464748,34.303938
7,903.14,-117.464594,34.303916
8,902.85,-117.464535,34.303875
9,902.2,-117.464519,34.303807
10,902.13,-117.464519,34.303733
11,902.47,-117.464574,34.303647
12,902.66,-117.464615,34.303635
13,903.44,-117.464848,34.303684
14,903.74,-117.465342,34.303858
15,904.48,-117.465659,34.303904
16,904.95,-117.465777,34.30391
17,906.29,-117.465945,34.303837
18,906.78,-117.466045,34.303834
19,906.57,-117.46608,34.303893
20,907.55,-117.466213,34.303836
21,909.23,-117.466578,34.303821
22,910.23,-117.466896,34.303943
23,910.92,-117.467375,34.304077
24,910.97,-117.467499,34.304099
25,911.36,-117.467583,34.304051
26,912.33,-117.467662,34.303923
27,912.96,-117.467735,34.303876
28,913.9,-117.46777,34.303774
29,914.64,-117.46767,34.303596
30,914.72,-117.467381,34.303434
31,915.18,-117.467393,34.303383
32,919.16,-117.467673,34.303221
33,920.03,-117.467698,34.303168
34,920.56,-117.467646,34.303079
35,923.12,-117.467665,34.302863
36,924.42,-117.467731,34.302775
37,925.97,-117.46786,34.302723
38,926.78,-117.467777,34.302529
39,929.32,-117.467864,34.302333
40,928.64,-117.467835,34.302317
41,928.68,-117.467859,34.302258
42,931.31,-117.467965,34.302162
43,933.33,-117.468015,34.30207
44,932.79,-117.467999,34.302055
45,927.58,-117.467851,34.302094
46,927.21,-117.467767,34.30206
47,929.13,-117.467658,34.30194
48,932.73,-117.467533,34.301559
49,934.7,-117.467512,34.30139
50,935.93,-117.467645,34.301401
51,938.03,-117.467768,34.301455
52,937.19,-117.4678,34.301397
53,932.17,-117.46771,34.301143
54,936.13,-117.467884,34.301156
55,934.74,-117.468027,34.301065
56,940,-117.468141,34.301157
57,939.26,-117.468173,34.301131
58,933.62,-117.4682,34.300995
59,931.82,-117.468307,34.300796
60,927.38,-117.468251,34.300691
61,928.84,-117.468317,34.300633
62,932.7,-117.468513,34.300546
63,924.78,-117.468458,34.300346
64,927.71,-117.468741,34.300252
65,916.56,-117.468722,34.299822
66,921.76,-117.468825,34.299752
67,927.28,-117.469012,34.299714
68,926.6,-117.469179,34.29977
69,925.95,-117.469255,34.299766
70,921.43,-117.469372,34.299693
71,922.8,-117.469763,34.299757
72,915.79,-117.469981,34.299514
73,915.55,-117.469975,34.299477
74,913.56,-117.469822,34.29939
75,912.97,-117.469682,34.299214
76,914.85,-117.469494,34.299099
77,915.27,-117.469425,34.299006
78,915.26,-117.469225,34.298993
79,915.26,-117.469084,34.298944
80,912.81,-117.468887,34.298813
81,911.69,-117.46879,34.298792
82,908.05,-117.468606,34.29869
83,905.46,-117.468495,34.298553
84,905.73,-117.46843,34.298577
85,903.73,-117.46832,34.298446
86,902.86,-117.468335,34.298374
87,902.96,-117.468492,34.298107
88,904.33,-117.468578,34.298044
89,906.25,-117.468268,34.297993
90,906.07,-117.468141,34.298011
91,908.67,-117.467965,34.297983
92,911.23,-117.468127,34.29789
93,913.75,-117.468185,34.297726
94,913.58,-117.468267,34.29767
95,913.47,-117.46832,34.297682
96,912.39,-117.468382,34.297772
97,914.16,-117.468641,34.297726
98,915.94,-117.46884,34.297576
99,918.76,-117.468885,34.297362
100,916.93,-117.469209,34.29729
101,921.06,-117.46936,34.297284
102,919.84,-117.469193,34.296984
103,921.45,-117.469215,34.296929
104,925.68,-117.469012,34.296651
105,930.85,-117.468884,34.296329
106,940.83,-117.469022,34.296101
107,941.42,-117.469029,34.295986
108,943.62,-117.469143,34.295786
109,942.58,-117.469186,34.295747
110,939.74,-117.469341,34.295815
