elev,xcoord,ycoord,id,dist,dist_total
889.45,-116.46696,32.589707,1,0,0
822.33,-116.466934,32.597598,2,875.093610679,875.093610679
788.5,-116.471314,32.605218,3,939.7544139,1814.848024579
779.18,-116.480118,32.604723,4,603.847037024,2418.695061603
738,-116.485912,32.607089,5,527.992194517,2946.68725612
768.42,-116.491537,32.607094,6,440.257017166,3386.944273286
770.15,-116.49586,32.605554,7,390.430287661,3777.374560947
724.72,-116.498973,32.607889,8,390.430287661,4167.804848608
758.43,-116.504246,32.608644,9,290.333664483,4458.138513091
799.02,-116.506772,32.610155,10,290.333664483,4748.472177574
857.87,-116.507691,32.615449,11,539.407912017,5287.880089591
869.57,-116.507677,32.620313,12,517.422948888,5805.303038479
895.83,-116.507403,32.624973,13,517.422948888,6322.725987367
915.71,-116.514044,32.630128,14,345.302636128,6668.028623495
1004.57,-116.516764,32.628031,15,345.302636128,7013.331259623
1028,-116.519491,32.62403,16,512.215713246,7525.546972869
1008.05,-116.523757,32.628687,17,653.449766044,8178.996738913
1032.07,-116.52575,32.636271,18,541.259066104,8720.255805017
1029.8,-116.523789,32.640861,19,541.259066105,9261.514871122
1017.87,-116.522197,32.645928,20,581.435592574,9842.950463696
1001.06,-116.528165,32.648978,21,488.281146622,10331.231610318
948.98,-116.532297,32.651655,22,488.281146622,10819.51275694
949.26,-116.539862,32.653156,23,648.588677355,11468.101434295
926.87,-116.547051,32.655937,24,218.438872621,11686.540306916
884.93,-116.547576,32.657856,25,218.438872621,11904.979179537
793.85,-116.544656,32.65737,26,275.204151123,12180.18333066
740.75,-116.543781,32.662304,27,361.484831148,12541.668161808
830.51,-116.540815,32.664385,28,361.484831148,12903.152992956
942.65,-116.536942,32.66585,29,397.977572659,13301.130565615
982.78,-116.532507,32.671787,30,695.688138482,13996.818704097
1065.13,-116.525123,32.671197,31,652.559744054,14649.378448151
1053.82,-116.520086,32.675256,32,652.559744054,15301.938192205
1020.7,-116.523971,32.680886,33,722.908722896,16024.846915101
932.99,-116.516611,32.683528,34,749.87980949,16774.726724591
960.86,-116.505418,32.691229,35,952.428982643,17727.155707234
987.33,-116.497586,32.696697,36,676.889201624,18404.044908858
1052.05,-116.495426,32.702521,37,676.889201624,19080.934110482
1007.52,-116.498929,32.710508,38,944.687242591,20025.621353073
939.58,-116.496098,32.720645,39,1155.09325621,21180.714609283
969.57,-116.486208,32.728123,40,902.035603407,22082.75021269
975.71,-116.478829,32.733344,41,635.845094426,22718.595307116
1052.88,-116.472821,32.730682,42,635.845094426,23354.440401542
1138.76,-116.465885,32.738286,43,989.231804425,24343.672205967
1167.9,-116.462265,32.746665,44,989.231804425,25332.904010392
1205.53,-116.452845,32.747251,45,855.467512559,26188.371522951
1272.03,-116.444582,32.750529,46,855.467512559,27043.83903551
1296.18,-116.438292,32.762739,47,1120.111901533,28163.950937043
1355.38,-116.438854,32.772828,48,770.410971372,28934.361908415
1467.9,-116.437352,32.779658,49,770.410971372,29704.772879787
1475.3,-116.432873,32.7891,50,789.562367552,30494.335247339
1601.66,-116.426749,32.793992,51,789.562367552,31283.897614891
1619.96,-116.422154,32.801323,52,919.908694311,32203.806309202
1592.46,-116.421009,32.812387,53,969.684909263,33173.491218465
1693.31,-116.415362,32.819716,54,969.684909263,34143.176127728
1800.41,-116.417329,32.828793,55,1023.362872499,35166.539000227
1839.26,-116.418472,32.839116,56,1149.827210071,36316.366210298
1781.96,-116.41899,32.850718,57,782.194782806,37098.560993104
1804.02,-116.417231,32.857613,58,782.194782806,37880.75577591
1824.4,-116.412644,32.86476,59,901.428701721,38782.184477631
1825.03,-116.416084,32.873521,60,1023.565596374,39805.750074005
1791.34,-116.420201,32.883997,61,951.136241279,40756.886315284
1817.31,-116.425484,32.891324,62,951.136241279,41708.022556563
1808.63,-116.432957,32.898007,63,712.692957123,42420.715513686
1747.14,-116.440191,32.895994,64,712.692957123,43133.408470809
1650.11,-116.447982,32.894885,65,739.254490113,43872.662960922
1647.51,-116.453577,32.900491,66,787.917060639,44660.580021561
1668.89,-116.454834,32.907516,67,787.917060639,45448.4970822
1654.33,-116.457769,32.918175,68,1213.57897076,46662.07605296
1681.43,-116.468118,32.926985,69,811.895126103,47473.971179063
1625.82,-116.475434,32.923045,70,811.895126103,48285.866305166
1644.82,-116.480926,32.930944,71,1015.515761868,49301.382067034
1666.73,-116.486996,32.944176,72,875.51432178,50176.896388814
1622.65,-116.495268,32.947874,73,748.015929535,50924.912318349
1587.01,-116.499774,32.953447,74,588.342073694,51513.254392043
1576.21,-116.504423,32.957022,75,588.342073694,52101.596465737
1499.16,-116.506833,32.964606,76,870.752092101,52972.348557838
1511.07,-116.514562,32.971633,77,810.100507296,53782.449065134
1535.26,-116.51899,32.977912,78,810.100507296,54592.54957243
1474.08,-116.525959,32.984607,79,987.74991578,55580.29948821
1467.12,-116.53076,32.994946,80,1151.565984314,56731.865472524
1438.57,-116.535467,33.004542,81,986.80287917,57718.668351694
1398.95,-116.536188,33.013419,82,676.392067309,58395.060419003
1204.01,-116.529242,33.011702,83,674.306801853,59069.367220856
1241.11,-116.522327,33.013441,84,674.306801853,59743.674022709
1268.15,-116.521528,33.021097,85,693.946694408,60437.620717117
1280.58,-116.51635,33.025583,86,693.946694408,61131.567411525
1241.66,-116.523225,33.035301,87,1109.729748549,62241.297160074
1156.74,-116.523759,33.045297,88,899.325549919,63140.622709993
1105.65,-116.520835,33.053023,89,656.172435656,63796.795145649
1046.06,-116.514042,33.054533,90,656.172435656,64452.967581305
971.68,-116.511225,33.061547,91,821.175012699,65274.142594004
965.43,-116.505566,33.067465,92,842.64956435,66116.792158354
999.83,-116.497093,33.065342,93,626.152488117,66742.944646471
919.25,-116.491259,33.068125,94,626.152488117,67369.097134588
928.71,-116.48208,33.066598,95,873.724478415,68242.821613003
856.17,-116.469908,33.068408,96,1154.235381342,69397.056994345
720.15,-116.469393,33.086338,97,1420.52121675,70817.578211095
689.24,-116.469501,33.099146,98,780.183682252,71597.761893347
764.85,-116.476144,33.103415,99,439.004756247,72036.766649594
865.75,-116.47352,33.1067,100,418.439546042,72455.206195636
915.96,-116.475665,33.110013,101,418.439546043,72873.645741679
917.18,-116.48143,33.109881,102,537.828406903,73411.474148582
940.91,-116.483317,33.114463,103,505.739221614,73917.213370196
933.16,-116.486932,33.11786,104,277.236297348,74194.449667544
957.22,-116.487855,33.120236,105,277.236297348,74471.685964892
975.92,-116.488398,33.1241,106,431.528978612,74903.214943504
992.55,-116.490949,33.127813,107,475.656290434,75378.871233938
1003.66,-116.496033,33.128769,108,486.130643492,75865.00187743
1002.24,-116.495402,33.136146,109,503.712113973,76368.713991403
996.77,-116.500349,33.137964,110,503.712113973,76872.426105376
1012.97,-116.507094,33.138282,111,630.345361496,77502.771466872
1001.96,-116.507457,33.145094,112,280.577550815,77783.349017687
1025.45,-116.509418,33.147012,113,280.577550815,78063.926568502
1095.32,-116.515077,33.148684,114,503.403662999,78567.330231501
1101.73,-116.520463,33.148957,115,503.403662999,79070.7338945
1097.15,-116.525968,33.151064,116,564.250985134,79634.984879634
1060.21,-116.531254,33.155246,117,676.985091313,80311.969970947
1054.91,-116.537644,33.159406,118,753.794455999,81065.764426946
1089,-116.543812,33.165325,119,652.82031484,81718.584741786
1130.85,-116.543381,33.1712,120,652.82031484,82371.405056626
1178.78,-116.549659,33.174306,121,261.1683038,82632.573360426
1230.91,-116.549832,33.178969,122,313.433512781,82946.006873207
1253.78,-116.551068,33.176341,123,261.1683038,83207.175177007
1306.53,-116.557845,33.180652,124,600.461067552,83807.636244559
1293.29,-116.561543,33.185084,125,600.461067552,84408.097312111
1344.11,-116.565664,33.192427,126,616.559788197,85024.657100308
1325.27,-116.561583,33.196801,127,616.559788197,85641.216888505
1286,-116.567719,33.198362,128,500.56174067,86141.778629175
1254.45,-116.573058,33.197891,129,520.179365343,86661.957994518
1230.97,-116.572277,33.202535,130,330.605635514,86992.563630032
1194.61,-116.571848,33.205494,131,330.605635514,87323.169265546
1147.18,-116.578621,33.207658,132,675.550777076,87998.7200426221
1095.54,-116.583879,33.213175,133,784.028735413,88782.7487780351
1046.57,-116.592401,33.219406,134,532.18395397,89314.9327320051
1058.62,-116.588601,33.222987,135,532.18395397,89847.1166859751
1048.57,-116.595711,33.225753,136,768.589198096,90615.7058840711
1008.66,-116.598695,33.233485,137,901.523722709,91517.22960678
1031.57,-116.598794,33.244671,138,476.363378565,91993.5929853451
1059.35,-116.601821,33.248132,139,476.363378565,92469.9563639101
1065.87,-116.609059,33.253543,140,902.826586916,93372.7829508261
1070.11,-116.618153,33.260566,141,642.231263205,94015.014214031
1053.85,-116.623024,33.264663,142,642.231263205,94657.2454772361
978.3,-116.634357,33.266387,143,1047.781672041,95705.0271492771
932.02,-116.643574,33.2718,144,233.21288488,95938.2400341571
889.45,-116.46696,32.589707,145,875.093610679,96813.3336448361
822.33,-116.466934,32.597598,146,875.093610679,97688.4272555151
788.5,-116.471314,32.605218,147,939.7544139,98628.1816694151
779.18,-116.480118,32.604723,148,603.847037024,99232.0287064391
738,-116.485912,32.607089,149,527.992194517,99760.0209009561
768.42,-116.491537,32.607094,150,440.257017166,100200.277918122
770.15,-116.49586,32.605554,151,390.430287661,100590.708205783
724.72,-116.498973,32.607889,152,390.430287661,100981.138493444
758.43,-116.504246,32.608644,153,290.333664483,101271.472157927
799.02,-116.506772,32.610155,154,290.333664483,101561.80582241
857.87,-116.507691,32.615449,155,539.407912017,102101.213734427
869.57,-116.507677,32.620313,156,517.422948888,102618.636683315
895.83,-116.507403,32.624973,157,517.422948888,103136.059632203
915.71,-116.514044,32.630128,158,345.302636128,103481.362268331
1004.57,-116.516764,32.628031,159,345.302636128,103826.664904459
1028,-116.519491,32.62403,160,512.215713246,104338.880617705
1008.05,-116.523757,32.628687,161,653.449766044,104992.330383749
1032.07,-116.52575,32.636271,162,541.259066104,105533.589449853
1029.8,-116.523789,32.640861,163,541.259066105,106074.848515958
1017.87,-116.522197,32.645928,164,581.435592574,106656.284108532
